,Alpha,Cost,ColdStarts,initialDecision,initialDecisionIndex
242,0.15,5.012529029846192e-07,4,"[1, 1, 0, 0, 1, 0]",50
243,0.15,5.012529029846192e-07,3,"[1, 1, 0, 0, 1, 1]",51
244,0.15,5.012529029846192e-07,4,"[1, 1, 0, 1, 0, 0]",52
245,0.15,5.012529029846192e-07,3,"[1, 1, 0, 1, 0, 1]",53
246,0.15,5.012529029846192e-07,3,"[1, 1, 0, 1, 1, 0]",54
247,0.15,5.012529029846192e-07,2,"[1, 1, 0, 1, 1, 1]",55
248,0.15,5.012529029846192e-07,4,"[1, 1, 1, 0, 0, 0]",56
249,0.15,5.012529029846192e-07,3,"[1, 1, 1, 0, 0, 1]",57
250,0.15,5.012529029846192e-07,3,"[1, 1, 1, 0, 1, 0]",58
251,0.15,5.012529029846192e-07,2,"[1, 1, 1, 0, 1, 1]",59
252,0.15,5.012529029846192e-07,3,"[1, 1, 1, 1, 0, 0]",60
253,0.15,5.012529029846192e-07,2,"[1, 1, 1, 1, 0, 1]",61
254,0.15,5.012529029846192e-07,2,"[1, 1, 1, 1, 1, 0]",62
255,0.15,5.012529029846192e-07,1,"[1, 1, 1, 1, 1, 1]",63
256,0.2,5.012529029846192e-07,5,"[0, 0, 0, 0, 0, 0]",0
257,0.2,5.012529029846192e-07,4,"[0, 0, 0, 0, 0, 1]",1
258,0.2,5.012529029846192e-07,4,"[0, 0, 0, 0, 1, 0]",2
259,0.2,5.012529029846192e-07,3,"[0, 0, 0, 0, 1, 1]",3
260,0.2,5.012529029846192e-07,4,"[0, 0, 0, 1, 0, 0]",4
261,0.2,5.012529029846192e-07,3,"[0, 0, 0, 1, 0, 1]",5
262,0.2,5.012529029846192e-07,3,"[0, 0, 0, 1, 1, 0]",6
263,0.2,5.012529029846192e-07,2,"[0, 0, 0, 1, 1, 1]",7
264,0.2,5.012529029846192e-07,4,"[0, 0, 1, 0, 0, 0]",8
265,0.2,5.012529029846192e-07,3,"[0, 0, 1, 0, 0, 1]",9
266,0.2,5.012529029846192e-07,3,"[0, 0, 1, 0, 1, 0]",10
267,0.2,5.012529029846192e-07,2,"[0, 0, 1, 0, 1, 1]",11
268,0.2,5.012529029846192e-07,3,"[0, 0, 1, 1, 0, 0]",12
269,0.2,5.012529029846192e-07,2,"[0, 0, 1, 1, 0, 1]",13
270,0.2,5.012529029846192e-07,2,"[0, 0, 1, 1, 1, 0]",14
271,0.2,5.012529029846192e-07,1,"[0, 0, 1, 1, 1, 1]",15
272,0.2,5.012529029846192e-07,4,"[0, 1, 0, 0, 0, 0]",16
273,0.2,5.012529029846192e-07,3,"[0, 1, 0, 0, 0, 1]",17
274,0.2,5.012529029846192e-07,3,"[0, 1, 0, 0, 1, 0]",18
275,0.2,5.012529029846192e-07,2,"[0, 1, 0, 0, 1, 1]",19
276,0.2,5.012529029846192e-07,3,"[0, 1, 0, 1, 0, 0]",20
277,0.2,5.012529029846192e-07,2,"[0, 1, 0, 1, 0, 1]",21
278,0.2,5.012529029846192e-07,2,"[0, 1, 0, 1, 1, 0]",22
279,0.2,5.012529029846192e-07,1,"[0, 1, 0, 1, 1, 1]",23
280,0.2,5.012529029846192e-07,3,"[0, 1, 1, 0, 0, 0]",24
281,0.2,5.012529029846192e-07,2,"[0, 1, 1, 0, 0, 1]",25
282,0.2,5.012529029846192e-07,2,"[0, 1, 1, 0, 1, 0]",26
283,0.2,5.012529029846192e-07,1,"[0, 1, 1, 0, 1, 1]",27
284,0.2,5.012529029846192e-07,2,"[0, 1, 1, 1, 0, 0]",28
285,0.2,5.012529029846192e-07,1,"[0, 1, 1, 1, 0, 1]",29
286,0.2,5.012529029846192e-07,1,"[0, 1, 1, 1, 1, 0]",30
287,0.2,5.012529029846192e-07,0,"[0, 1, 1, 1, 1, 1]",31
288,0.2,5.012529029846192e-07,6,"[1, 0, 0, 0, 0, 0]",32
